"V1","V2","V3","V4","V5","V6"
"María Del Socorro Bustamante Ibarra","0","FUNECO","Afrodescendiente","1","Inf"
"Moisés Orozco Vicuña","52.8925619834693","FUNECO","Afrodescendiente","2","1.89062500000006"
"Ana Paola Agudelo García","69.4214876033033","MIRA","Consulados","3","1.44047619047624"
"Jaime  Buenahora Febres","74.3801652892535","Partido de la U","Consulados","4","1.34444444444449"
"Germán Bernardo Carlosama López","88.4297520661124","AICO","Indígena","5","1.13084112149537"
"Eduar Luis Benjumea Moreno","83.4710743801622","Partido Liberal ","Amazonas","6","1.19801980198024"
"Rafael  Elizalde Gómez","93.3884297520626","Opción Ciudadana","Amazonas","7","1.07079646017703"
"Margarita María Restrepo Arango","91.7355371900792","Centro Democrático","Antioquia","8","1.09009009009013"
"María Regina Zuluaga Henao","94.2148760330543","Centro Democrático","Antioquia","9","1.06140350877197"
"Federico Eduardo Hoyos Salazar","99.9999999999962","Centro Democrático","Antioquia","10","1.00000000000004"
"Óscar Darío Pérez Pineda","90.0826446280958","Centro Democrático","Antioquia","11","1.11009174311931"
"Santiago  Valencia González","91.7355371900792","Centro Democrático","Antioquia","12","1.09009009009013"
"Wilson Córdoba Mena","98.3471074380128","Centro Democrático","Antioquia","13","1.01680672268911"
"José Ignacio Mesa Betancur","90.9090909090875","Cambio Radical","Antioquia","14","1.10000000000004"
"Germán Alcides Blanco Álvarez","90.0826446280958","Partido Conservador","Antioquia","15","1.11009174311931"
"Luis Horacio Gallón Arango","98.3471074380128","Partido Conservador","Antioquia","16","1.01680672268911"
"Nicolás Albeiro Echeverry Alvarán","94.2148760330543","Partido Conservador","Antioquia","17","1.06140350877197"
"Iván Darío Agudelo Zapata","91.7355371900792","Partido Liberal","Antioquia","18","1.09009009009013"
"John Jairo Roldán Avendaño","92.5619834710709","Partido Liberal","Antioquia","19","1.08035714285718"
"Julián Bedoya Pulgarín","97.5206611570211","Partido Liberal","Antioquia","20","1.0254237288136"
"Óscar De Jesús Hurtado Pérez","94.2148760330543","Partido Liberal","Antioquia","21","1.06140350877197"
"Rodrigo De Jesús Saldarriaga Sanín","0","Polo Democrático","Antioquia","22","Inf"
"Juan Felipe Lemos Uribe","82.6446280991705","Partido de la U","Antioquia","23","1.21000000000004"
"León Darío Ramírez Valencia","97.5206611570211","Partido de la U","Antioquia","24","1.0254237288136"
"Pedro Jesús Orjuela Gómez","95.041322314046","Partido Liberal","Arauca","25","1.05217391304352"
"Albeiro Vanegas Osorio","86.776859504129","Partido de la U","Arauca","26","1.152380952381"
"Luis Eduardo Díaz Granados Torres","87.6033057851207","Cambio Radical","Atlántico","27","1.14150943396231"
"Aída Merlano Rebolledo","80.9917355371871","Partido Conservador","Atlántico","28","1.23469387755107"
"Inés Cecilia López Flórez","88.4297520661124","Partido Conservador","Atlántico","29","1.13084112149537"
"Armando Antonio Zabarain D Arce","99.9999999999962","Partido Conservador","Atlántico","30","1.00000000000004"
"Mauricio  Gómez Amín","90.9090909090875","Partido Liberal","Atlántico","31","1.10000000000004"
"Martha Patricia Villalba Hodwalker","92.5619834710709","Partido de la U","Atlántico","32","1.08035714285718"
"Eduardo Alfonso Crissien Borrero","79.3388429752037","Partido de la U","Atlántico","33","1.26041666666671"
"Esperanza María Pinzón De Jiménez","87.6033057851207","Centro Democrático","Bogotá","34","1.14150943396231"
"María Fernanda Cabal Molina","94.2148760330543","Centro Democrático","Bogotá","35","1.06140350877197"
"Tatiana Cabello Flórez","67.7685950413199","Centro Democrático","Bogotá","36","1.47560975609761"
"Edward David Rodríguez Rodríguez","96.6942148760294","Centro Democrático","Bogotá","37","1.03418803418807"
"Samuel Alejandro Hoyos Mejía","95.041322314046","Centro Democrático","Bogotá","38","1.05217391304352"
"Carlos Eduardo Guevara Villabón","95.041322314046","MIRA","Bogotá","39","1.05217391304352"
"Ángela María Robledo Gómez","93.3884297520626","Partido Verde","Bogotá","40","1.07079646017703"
"Angélica Lisbeth Lozano Correa","86.776859504129","Partido Verde","Bogotá","41","1.152380952381"
"Inti Raúl Asprilla Reyes","95.041322314046","Partido Verde","Bogotá","42","1.05217391304352"
"Rodrigo  Lara Restrepo","93.3884297520626","Cambio Radical","Bogotá","43","1.07079646017703"
"Telésforo  Pedraza Ortega","96.6942148760294","Partido Conservador","Bogotá","44","1.03418803418807"
"Clara Leticia Rojas González","94.2148760330543","Partido Liberal","Bogotá","45","1.06140350877197"
"Olga Lucia Velásquez Nieto","99.9999999999962","Partido Liberal","Bogotá","46","1.00000000000004"
"Juan Carlos Lozada Vargas","85.9504132231373","Partido Liberal","Bogotá","47","1.16346153846158"
"Alirio  Uribe Muñoz","90.0826446280958","Polo Democrático","Bogotá","48","1.11009174311931"
"Carlos Germán Navas Talero","92.5619834710709","Polo Democrático","Bogotá","49","1.08035714285718"
"Carlos Arturo Correa Mojica","95.8677685950377","Partido de la U","Bogotá","50","1.0431034482759"
"Efraín Antonio Torres Monsalvo","71.0743801652867","Partido de la U","Bogotá","51","1.4069767441861"
"Karen Violette Cure Corcione","52.8925619834693","Cambio Radical","Bolívar","52","1.89062500000006"
"Hernando José Padaui Álvarez","73.5537190082618","Cambio Radical","Bolívar","53","1.3595505617978"
"Pedrito Tomás Pereira Caballero","91.7355371900792","Partido Conservador","Bolívar","54","1.09009009009013"
"Silvio José Carrasquilla Torres","85.9504132231373","Partido Liberal","Bolívar","55","1.16346153846158"
"Marta Cecilia Curi Osorio","95.8677685950377","Partido de la U","Bolívar","56","1.0431034482759"
"Alonso José Del Rio Cabarcas","95.8677685950377","Partido de la U","Bolívar","57","1.0431034482759"
"Ciro Alejandro Ramírez Cortés","95.041322314046","Centro Democrático","Boyacá","58","1.05217391304352"
"Sandra Liliana Ortíz Nova","93.3884297520626","Partido Verde","Boyacá","59","1.07079646017703"
"Humphrey  Roa Sarmiento","95.041322314046","Partido Conservador","Boyacá","60","1.05217391304352"
"Rafael  Romero Piñeros","90.9090909090875","Partido Liberal","Boyacá","61","1.10000000000004"
"Cristóbal Rodríguez Hernández","92.5619834710709","Partido de la U","Boyacá","62","1.08035714285718"
"Jairo Enrique Castiblanco Parra","99.1735537190045","Partido de la U","Boyacá","63","1.00833333333337"
"Hugo Hernán González Medina","99.9999999999962","Centro Democrático","Caldas","64","1.00000000000004"
"Arturo  Yepes Alzate","94.2148760330543","Partido Conservador","Caldas","65","1.06140350877197"
"Mario Alberto Castaño Pérez","92.5619834710709","Partido Liberal","Caldas","66","1.08035714285718"
"Luz Adriana Moreno Marmolejo","96.6942148760294","Partido de la U","Caldas","67","1.03418803418807"
"Hernán Penagos Giraldo","95.8677685950377","Partido de la U","Caldas","68","1.0431034482759"
"Luis Fernando Urrego Carvajal","79.3388429752037","Partido Conservador","Caquetá","69","1.26041666666671"
"Harry Giovanny González García","95.041322314046","Partido Liberal","Caquetá","70","1.05217391304352"
"José Rodolfo Pérez Suárez","24.7933884297515","Cien Por Ciento Por Colombia","Casanare","71","4.03333333333343"
"Jorge Camilo Abril Tarache","98.3471074380128","Partido Liberal","Casanare","72","1.01680672268911"
"Óscar  Ospina Quintero","99.9999999999962","Partido Verde","Cauca","73","1.00000000000004"
"Carlos Julio Bonilla Soto","90.0826446280958","Partido Liberal","Cauca","74","1.11009174311931"
"Crisanto  Pizo Mazabuel","95.041322314046","Partido Liberal","Cauca","75","1.05217391304352"
"John Jairo Cárdenas Morán","92.5619834710709","Partido de la U","Cauca","76","1.08035714285718"
"Eloy Chichi Quintero Romero","90.0826446280958","Cambio Radical","Cesar","77","1.11009174311931"
"Alfredo Ape Cuello Baute","84.2975206611539","Partido Conservador","Cesar","78","1.18627450980397"
"Fernando De La Peña Márquez","99.9999999999962","Opción Ciudadana","Cesar","79","1.00000000000004"
"Christian José Moreno Villamizar","85.1239669421456","Partido de la U","Cesar","80","1.17475728155344"
"Nilton Córdoba Manyoma","93.3884297520626","Partido Liberal","Chocó","81","1.07079646017703"
"José Bernardo Flórez Asprilla","91.7355371900792","Partido de la U","Chocó","82","1.09009009009013"
"David Alejandro Barguil Assis","85.1239669421456","Partido Conservador","Córdoba","83","1.17475728155344"
"Fabio Raúl Amín Saleme","95.8677685950377","Partido Liberal","Córdoba","84","1.0431034482759"
"Sara Elena Piedrahita Lyons","96.6942148760294","Partido de la U","Córdoba","85","1.03418803418807"
"Eduardo José Tous De La Ossa","99.9999999999962","Partido de la U","Córdoba","86","1.00000000000004"
"Raymundo Elías Méndez Bechara","80.1652892561954","Partido de la U","Córdoba","87","1.24742268041242"
"Rubén Darío Molano Piñeros","99.9999999999962","Centro Democrático","Cundinamarca","88","1.00000000000004"
"Jorge Emilio Rey Ángel","22.3140495867764","Cambio Radical","Cundinamarca","89","4.48148148148157"
"Jorge Enrique Rozo Rodríguez","95.8677685950377","Cambio Radical","Cundinamarca","90","1.0431034482759"
"Orlando Alfonso Clavijo Clavijo","90.9090909090875","Partido Conservador","Cundinamarca","91","1.10000000000004"
"Óscar Hernán Sanchez León","99.1735537190045","Partido Liberal","Cundinamarca","92","1.00833333333337"
"Alfredo Guillermo Molina Triana","98.3471074380128","Partido de la U","Cundinamarca","93","1.01680672268911"
"José Edilberto Caicedo Sastoque","90.9090909090875","Partido de la U","Cundinamarca","94","1.10000000000004"
"Édgar Alexander Cipriano Moreno","97.5206611570211","ASI","Guainía","95","1.0254237288136"
"Carlos Alberto Cuenca Chaux","90.9090909090875","Cambio Radical","Guainía","96","1.10000000000004"
"Leopoldo Suárez Melo","93.3884297520626","Partido Liberal","Guainía","97","1.07079646017703"
"Alexander  García Rodríguez","90.0826446280958","Partido de la U","Guainía","98","1.11009174311931"
"Álvaro Hernán Prada Artunduaga","99.1735537190045","Centro Democrático","Huila","99","1.00833333333337"
"Jaime Felipe Lozada Polanco","95.041322314046","Partido Conservador","Huila","100","1.05217391304352"
"Ana María Rincón Herrera","76.8595041322286","Partido de la U","Huila","101","1.30107526881725"
"Flora Perdomo Andrade","92.5619834710709","Por Un Huila Mejor","Huila","102","1.08035714285718"
"Antenor  Durán Carrillo","94.2148760330543","AICO","La Guajira","103","1.06140350877197"
"Alfredo Rafael Deluque Zuleta","93.3884297520626","Partido de la U","La Guajira","104","1.07079646017703"
"Fabián Gerardo Castillo Suárez","91.7355371900792","Cambio Radical","Magdalena","105","1.09009009009013"
"Kelyn Johana González Duarte","85.1239669421456","Partido Liberal","Magdalena","106","1.17475728155344"
"Jaime Enrique Serrano Pérez","95.8677685950377","Partido Liberal","Magdalena","107","1.0431034482759"
"Franklin Del Cristo Lozano De La Ossa","99.9999999999962","Opción Ciudadana","Magdalena","108","1.00000000000004"
"Eduardo Agatón Díaz Granados Abadia","80.9917355371871","Partido de la U","Magdalena","109","1.23469387755107"
"Fernando Sierra Ramos","90.9090909090875","Centro Democrático","Meta","110","1.10000000000004"
"Ángelo Antonio Villamil Benavides","97.5206611570211","Partido Liberal","Meta","111","1.0254237288136"
"Elda Lucy Contento Sanz","96.6942148760294","Partido de la U","Meta","112","1.03418803418807"
"Diela Liliana Benavides Solarte","88.4297520661124","Partido Conservador","Nariño","113","1.13084112149537"
"Óscar Fernando Bravo Realpe","92.5619834710709","Partido Conservador","Nariño","114","1.08035714285718"
"Neftalí Correa Díaz","90.0826446280958","Partido Liberal","Nariño","115","1.11009174311931"
"Bayardo Gilberto Betancourt Pérez","90.0826446280958","Opción Ciudadana","Nariño","116","1.11009174311931"
"Berner León Zambrano Eraso","95.041322314046","Partido de la U","Nariño","117","1.05217391304352"
"Ciro Antonio Rodríguez Pinzón","98.3471074380128","Partido Conservador","Norte de Santander","118","1.01680672268911"
"Juan Carlos García Gómez","94.2148760330543","Partido Conservador","Norte de Santander","119","1.06140350877197"
"Alejandro Carlos Chacón Camargo","99.1735537190045","Partido Liberal","Norte de Santander","120","1.00833333333337"
"José Neftalí Santos Ramírez","96.6942148760294","Partido Liberal","Norte de Santander","121","1.03418803418807"
"Wilmer Ramiro Carrillo Mendoza","90.9090909090875","Partido de la U","Norte de Santander","122","1.10000000000004"
"Orlando Aníbal Guerra De La Rosa","99.9999999999962","Partido Conservador","Putumayo","123","1.00000000000004"
"Argenis Velásquez Ramírez","92.5619834710709","Partido Liberal","Putumayo","124","1.08035714285718"
"Antonio  Restrepo Salazar","95.8677685950377","Cambio Radical","Quindío","125","1.0431034482759"
"Atilano Alonso Giraldo Arboleda","99.9999999999962","Cambio Radical","Quindío","126","1.00000000000004"
"Luciano  Grisales Londoño","99.1735537190045","Partido Liberal","Quindío","127","1.00833333333337"
"Juan Carlos Rivera Peña","94.2148760330543","Partido Conservador","Risaralda","128","1.06140350877197"
"Mauricio  Salazar Peláez","99.1735537190045","Partido Conservador","Risaralda","129","1.00833333333337"
"Diego  Patiño Amariles","88.4297520661124","Partido Liberal","Risaralda","130","1.13084112149537"
"Didier  Burgos Ramírez","90.0826446280958","Partido de la U","Risaralda","131","1.11009174311931"
"Julio Eugenio Gallardo Archbold","84.2975206611539","Movimiento de Integración Regional","San Andrés","132","1.18627450980397"
"Jack Housni Jaller","91.7355371900792","Partido Liberal","San Andrés","133","1.09009009009013"
"Johana Chaves García","26.4462809917349","Centro Democrático","Santander","134","3.78125000000009"
"Ciro  Fernandez Núñez","95.041322314046","Cambio Radical","Santander","135","1.05217391304352"
"Lina María Barrera Rueda","95.041322314046","Partido Conservador","Santander","136","1.05217391304352"
"Édgar Alfonso Gómez Román","90.9090909090875","Partido Liberal","Santander","137","1.10000000000004"
"Miguel Ángel Pinto Hernández","92.5619834710709","Partido Liberal","Santander","138","1.08035714285718"
"María Eugenia Triana Vargas","98.3471074380128","Opción Ciudadana","Santander","139","1.01680672268911"
"Ricardo Flórez Rueda","57.0247933884278","Opción Ciudadana","Santander","140","1.75362318840586"
"Candelaria Patricia Rojas Vergara","93.3884297520626","Cien Por Ciento Por Colombia","Sucre","141","1.07079646017703"
"Yahir Fernando Acuña Cardales","19.0082644628096","Cien Por Ciento Por Colombia","Sucre","142","5.26086956521748"
"Nicolás Daniel Guerrero Montaño","95.8677685950377","Partido de la U","Sucre","143","1.0431034482759"
"Pierre Eugenio García Jacquier","94.2148760330543","Centro Democrático","Tolima","144","1.06140350877197"
"José Élver Hernández Casas","94.2148760330543","Partido Conservador","Tolima","145","1.06140350877197"
"Miguel Ángel Barreto Castillo","94.2148760330543","Partido Conservador","Tolima","146","1.06140350877197"
"Ángel María Gaitán Pulido","96.6942148760294","Partido Liberal","Tolima","147","1.03418803418807"
"Carlos Edward Osorio Aguiar","85.9504132231373","Partido de la U","Tolima","148","1.16346153846158"
"Jaime Armando Yepes Martínez","92.5619834710709","Partido de la U","Tolima","149","1.08035714285718"
"Carlos Alberto Cuero Valencia","96.6942148760294","Centro Democrático","Valle","150","1.03418803418807"
"Guillermina Bravo Montaño","96.6942148760294","MIRA","Valle","151","1.03418803418807"
"Ana Cristina Paz Cardona","88.4297520661124","Partido Verde","Valle","152","1.13084112149537"
"Carlos Abraham Jiménez López","96.6942148760294","Cambio Radical","Valle","153","1.03418803418807"
"José Luis Pérez Oyuela","95.8677685950377","Cambio Radical","Valle","154","1.0431034482759"
"Álvaro  López Gil","92.5619834710709","Partido Conservador","Valle","155","1.08035714285718"
"Heriberto Sanabria Astudillo","96.6942148760294","Partido Conservador","Valle","156","1.03418803418807"
"Nancy Denise Castillo García","84.2975206611539","Partido Liberal","Valle","157","1.18627450980397"
"Fabio Alonso Arroyave Botero","91.7355371900792","Partido Liberal","Valle","158","1.09009009009013"
"Hernán Sinisterra Valencia","97.5206611570211","Partido Liberal","Valle","159","1.0254237288136"
"Élbert  Díaz Lozano","99.9999999999962","Partido de la U","Valle","160","1.00000000000004"
"Jorge Eliécer Tamayo Marulanda","96.6942148760294","Partido de la U","Valle","161","1.03418803418807"
"Rafael Eduardo Palau Salazar","99.1735537190045","Partido de la U","Valle","162","1.00833333333337"
"Jair  Arango Torres","91.7355371900792","Cambio Radical","Vaupés ","163","1.09009009009013"
"Norbey Marulanda Muñoz","95.041322314046","Partido Liberal","Vaupés ","164","1.05217391304352"
"Marco Sergio Rodríguez Merchán","85.1239669421456","Partido Liberal","Vichada","165","1.17475728155344"
"Nery  Oros Ortíz","85.1239669421456","Partido de la U","Vichada","166","1.17475728155344"
